"cons","edo","NOM_ENT","mun","NOM_MUN","grupo","NOMBRE_GRUPO","monto_venta","animales_venta"
"0038","15","México","051","Lerma","1","reses",0,0
"0038","15","México","051","Lerma","2","equinos",0,0
"0038","15","México","051","Lerma","3","cerdos",0,0
"0038","15","México","051","Lerma","4","aves",0,0
"0038","15","México","051","Lerma","5","cyb",0,0
"0039","15","México","051","Lerma","1","reses",0,0
"0039","15","México","051","Lerma","2","equinos",0,0
"0039","15","México","051","Lerma","3","cerdos",0,0
"0039","15","México","051","Lerma","4","aves",0,0
"0039","15","México","051","Lerma","5","cyb",0,0
"0040","15","México","051","Lerma","1","reses",0,0
"0040","15","México","051","Lerma","2","equinos",0,0
"0040","15","México","051","Lerma","3","cerdos",0,0
"0040","15","México","051","Lerma","4","aves",0,0
"0040","15","México","051","Lerma","5","cyb",0,0
"0041","15","México","067","Otzolotepec","1","reses",0,0
"0041","15","México","067","Otzolotepec","2","equinos",0,0
"0041","15","México","067","Otzolotepec","3","cerdos",0,0
"0041","15","México","067","Otzolotepec","4","aves",0,0
"0041","15","México","067","Otzolotepec","5","cyb",0,0
"0042","15","México","067","Otzolotepec","1","reses",0,0
"0042","15","México","067","Otzolotepec","2","equinos",0,0
"0042","15","México","067","Otzolotepec","3","cerdos",0,0
"0042","15","México","067","Otzolotepec","4","aves",0,0
"0042","15","México","067","Otzolotepec","5","cyb",0,0
"0043","15","México","067","Otzolotepec","1","reses",0,0
"0043","15","México","067","Otzolotepec","2","equinos",0,0
"0043","15","México","067","Otzolotepec","3","cerdos",0,0
"0043","15","México","067","Otzolotepec","4","aves",0,0
"0043","15","México","067","Otzolotepec","5","cyb",0,0
"0044","15","México","067","Otzolotepec","1","reses",0,0
"0044","15","México","067","Otzolotepec","2","equinos",0,0
"0044","15","México","067","Otzolotepec","3","cerdos",0,0
"0044","15","México","067","Otzolotepec","4","aves",0,0
"0044","15","México","067","Otzolotepec","5","cyb",0,0
"0045","15","México","067","Otzolotepec","1","reses",0,0
"0045","15","México","067","Otzolotepec","2","equinos",0,0
"0045","15","México","067","Otzolotepec","3","cerdos",0,0
"0045","15","México","067","Otzolotepec","4","aves",0,0
"0045","15","México","067","Otzolotepec","5","cyb",0,0
"0046","15","México","067","Otzolotepec","1","reses",0,0
"0046","15","México","067","Otzolotepec","2","equinos",0,0
"0046","15","México","067","Otzolotepec","3","cerdos",0,0
"0046","15","México","067","Otzolotepec","4","aves",0,0
"0046","15","México","067","Otzolotepec","5","cyb",0,0
"0046","15","México","067","Otzolotepec","6","otro",0,0
"0047","15","México","067","Otzolotepec","1","reses",0,0
"0047","15","México","067","Otzolotepec","2","equinos",0,0
"0047","15","México","067","Otzolotepec","3","cerdos",0,0
"0047","15","México","067","Otzolotepec","4","aves",0,0
"0047","15","México","067","Otzolotepec","5","cyb",0,0
"0048","15","México","067","Otzolotepec","1","reses",0,0
"0048","15","México","067","Otzolotepec","2","equinos",0,0
"0048","15","México","067","Otzolotepec","3","cerdos",0,0
"0048","15","México","067","Otzolotepec","4","aves",0,0
"0048","15","México","067","Otzolotepec","5","cyb",0,0
"0049","15","México","067","Otzolotepec","1","reses",0,0
"0049","15","México","067","Otzolotepec","2","equinos",0,0
"0049","15","México","067","Otzolotepec","3","cerdos",0,0
"0049","15","México","067","Otzolotepec","4","aves",0,0
"0049","15","México","067","Otzolotepec","5","cyb",0,0
"0050","15","México","067","Otzolotepec","1","reses",0,0
"0050","15","México","067","Otzolotepec","2","equinos",0,0
"0050","15","México","067","Otzolotepec","3","cerdos",0,0
"0050","15","México","067","Otzolotepec","4","aves",0,0
"0050","15","México","067","Otzolotepec","5","cyb",0,0
"0051","15","México","067","Otzolotepec","1","reses",0,0
"0051","15","México","067","Otzolotepec","2","equinos",0,0
"0051","15","México","067","Otzolotepec","3","cerdos",0,0
"0051","15","México","067","Otzolotepec","4","aves",0,0
"0051","15","México","067","Otzolotepec","5","cyb",0,0
"0052","15","México","067","Otzolotepec","1","reses",0,0
"0052","15","México","067","Otzolotepec","2","equinos",0,0
"0052","15","México","067","Otzolotepec","3","cerdos",0,0
"0052","15","México","067","Otzolotepec","4","aves",0,0
"0052","15","México","067","Otzolotepec","5","cyb",0,0
"0053","15","México","067","Otzolotepec","1","reses",0,0
"0053","15","México","067","Otzolotepec","2","equinos",0,0
"0053","15","México","067","Otzolotepec","3","cerdos",0,0
"0053","15","México","067","Otzolotepec","4","aves",0,0
"0053","15","México","067","Otzolotepec","5","cyb",0,0
"0054","15","México","067","Otzolotepec","1","reses",0,0
"0054","15","México","067","Otzolotepec","2","equinos",0,0
"0054","15","México","067","Otzolotepec","3","cerdos",0,0
"0054","15","México","067","Otzolotepec","4","aves",0,0
"0054","15","México","067","Otzolotepec","5","cyb",0,0
"0056","15","México","067","Otzolotepec","1","reses",0,0
